author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516373/;Москва;sale;flat;2;9;3;80.0;29720000;;;В14 кв-л;Павшино;Сберсити ЖК
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/300022362/;Москва;sale;flat;2;9;3;118.0;215000000;Хамовники;Малая Пироговская ;12;Спортивная;
ЭЛИТА-ЭКО;developer;https://www.cian.ru/sale/flat/292406303/;Москва;sale;flat;2;14;3;79.88;61427720;Дорогомилово;1-й Можайский тупик;8АС1;Киевская;D'ORO MILLE
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/295295279/;Москва;sale;flat;7;16;3;121.0;103000000;Хамовники;Ружейный переулок;3;Смоленская;Смоленская Застава
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299934980/;Москва;sale;flat;3;13;3;89.86;38118612;;;В21 кв-л;Опалиха;Сберсити ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/294675252/;Москва;sale;flat;4;7;3;131.4;110453309;Пресненский;Никитский бульвар;12;Арбатская;
Главстрой;developer;https://www.cian.ru/sale/flat/296921239/;Москва;sale;flat;3;26;3;100.3;36970128;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300007579/;Москва;sale;flat;13;37;3;66.3;52000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Hutton Development;developer;https://www.cian.ru/sale/flat/293911215/;Москва;sale;flat;-1;-1;-1;202.0;241110000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/293668197/;Москва;sale;flat;4;5;3;150.8;219580001;Пресненский;Леонтьевский переулок;11;Тверская;Леонтьевский 11
Neva Towers;developer;https://www.cian.ru/sale/flat/298051612/;Москва;sale;flat;65;66;3;85.8;90604800;Пресненский;1-й Красногвардейский проезд;22с1;Выставочная;NEVA TOWERS
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/287789002/;Москва;sale;flat;7;8;3;138.5;126650000;Арбат;Кривоарбатский переулок;8С2;Смоленская;
EraOneHolding;developer;https://www.cian.ru/sale/flat/299053641/;Москва;sale;flat;5;8;3;129.5;122684211;Арбат; Арбат;24;Смоленская;Turandot Residences
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/298211319/;Москва;sale;flat;22;23;3;128.0;55000000;Аэропорт;Часовая ;19к3;Сокол;
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516172/;Москва;sale;flat;2;12;3;101.91;45451860;;;В19 кв-л;Павшино;Сберсити ЖК
Московский городской центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/299255562/;Москва;sale;flat;15;23;3;120.0;52000000;Ломоносовский;Ленинский проспект;83к1;Университет;Ломоносовский
Sminex;developer;https://www.cian.ru/sale/flat/299262107/;Москва;sale;flat;7;14;3;91.8;49760000;Раменки;проспект Генерала Дорохова;39к2Л;Ломоносовский проспект;Собрание клубных домов West Garden
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/296084770/;Москва;sale;flat;7;24;3;93.0;99000000;Пресненский;Мантулинская ;9к5;Деловой центр;City Park
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/291868757/;Москва;sale;flat;3;13;3;86.94;45191412;;;В20 кв-л;Павшино;Сберсити ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/287679683/;Москва;sale;flat;3;18;3;126.3;75000000;Пресненский;Большая Грузинская ;37С2;Белорусская;
Пионер;developer;https://www.cian.ru/sale/flat/299934889/;Москва;sale;flat;5;18;3;85.0;68693770;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/299305857/;Москва;sale;flat;8;8;3;81.0;50000000;Арбат; Арбат;51С1;Смоленская;
VOSHOD;developer;https://www.cian.ru/sale/flat/298229716/;Москва;sale;flat;12;17;3;108.3;62976450;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/299294154/;Москва;sale;flat;5;24;3;69.0;26300000;Донской;;к1;Тульская;Новоданиловская 8 ЖК
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/300112817/;Москва;sale;flat;2;6;3;119.45;147998550;Замоскворечье;Космодамианская набережная;4/22С9;Новокузнецкая;Клубный дом Космо 4/22
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299872308/;Москва;sale;flat;17;41;3;88.3;58500000;Хорошевский;Ленинградский проспект;37/7;Аэропорт;Прайм Парк
FORMA;developer;https://www.cian.ru/sale/flat/298068851/;Москва;sale;flat;4;33;3;95.37;55434289;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/295467317/;Москва;sale;flat;3;6;3;159.0;290000000;Хамовники;переулок Хилков;5;Парк Культуры;Особняк в Хилковом переулке
Группа Родина;developer;https://www.cian.ru/sale/flat/293200742/;Москва;sale;flat;7;13;3;50.8;15897200;; 1-я Ватутинская;14к1;Ольховая;Russian Design District
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/300018508/;Москва;sale;flat;8;14;3;92.1;90800000;Раменки;проспект Генерала Дорохова;39к1;Минская;Собрание клубных домов West Garden
Мангазея;developer;https://www.cian.ru/sale/flat/299168023/;Москва;sale;flat;8;21;3;98.9;44702800;Щукино;Щукинская ;3;Щукинская;Интонация
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/291318309/;Москва;sale;flat;7;20;3;93.0;99000000;Пресненский;Мантулинская ;9к5;Деловой центр;City Park
ID 39404589;developer;https://www.cian.ru/sale/flat/299992203/;Москва;sale;flat;25;34;3;59.3;25759920;Обручевский;;;Калужская;Эвер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/295915768/;Москва;sale;flat;8;13;3;92.1;96705000;Раменки;проспект Генерала Дорохова;39к1;Минская;Собрание клубных домов West Garden
Главстрой;developer;https://www.cian.ru/sale/flat/298982624/;Москва;sale;flat;2;29;3;111.6;40873633;Филевский парк;Береговой проезд;3;Шелепиха;Береговой
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296204878/;Москва;sale;flat;4;12;3;135.0;135000000;Замоскворечье;Климентовский переулок;2;Новокузнецкая;
Sense Development;developer;https://www.cian.ru/sale/flat/298147644/;Москва;sale;flat;9;13;3;102.8;55209558;Даниловский;Подольское шоссе;3;Тульская;Logos
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/298956116/;Москва;sale;flat;2;5;3;88.0;67500000;Замоскворечье; Малая Ордынка;5/6С2-3;Третьяковская;
Компания Пионер;developer;https://www.cian.ru/sale/flat/297773512/;Москва;sale;flat;6;39;3;71.1;43893229;Даниловский;;;Павелецкая;Хай Лайф ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299159248/;Москва;sale;flat;9;36;3;70.6;52000000;Хорошевский;Ленинградский проспект;37/4;Аэропорт;Прайм Парк
Prime Life Development;developer;https://www.cian.ru/sale/flat/299132370/;Москва;sale;flat;3;28;3;83.45;39068609;Нагатино-Садовники;Нагатинская ;к2вл1;Нагатинская;1-й Нагатинский
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/298508099/;Москва;sale;flat;5;15;3;128.6;70000000;Раменки;Университетский проспект;16;Ломоносовский проспект;
Regions Development;developer;https://www.cian.ru/sale/flat/300085750/;Москва;sale;flat;2;16;3;74.41;30845885;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/296202968/;Москва;sale;flat;25;34;3;135.0;86000000;Раменки;Мосфильмовская ;8;Минская;Дом на Мосфильмовской
Ташир;developer;https://www.cian.ru/sale/flat/299377325/;Москва;sale;flat;3;17;3;83.0;41010721;Раменки;Мичуринский проспект;вл30Б;Раменки;Legacy
Виктор Цюрупа;realtor;https://www.cian.ru/sale/flat/299795305/;Москва;sale;flat;7;14;3;118.0;48800000;Замоскворечье;Большой Строченовский переулок;9;Павелецкая;Резиденции Замоскворечье
Э.К. Девелопмент;developer;https://www.cian.ru/sale/flat/293915384/;Москва;sale;flat;4;25;3;85.1;34040000;Хорошевский; Маргелова;3к5;Беговая;Авиатика
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/298504143/;Москва;sale;flat;11;14;3;70.0;42000000;Раменки;проспект Генерала Дорохова;39к2;Минская;Собрание клубных домов West Garden
Стадион Спартак;developer;https://www.cian.ru/sale/flat/282960151/;Москва;sale;flat;2;13;3;79.3;38833210;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297119000/;Москва;sale;flat;12;19;3;84.0;63200000;Хорошево-Мневники;Шелепихинская набережная;34к2;Шелепиха;Сердце Столицы
MR Group;developer;https://www.cian.ru/sale/flat/292153254/;Москва;sale;flat;19;36;3;99.0;63807671;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
ID 14953;realtor;https://www.cian.ru/sale/flat/288452371/;Москва;sale;flat;13;14;3;92.0;76999999;Таганский;Гончарная ;38;;
Трансстройинвест;developer;https://www.cian.ru/sale/flat/298443148/;Москва;sale;flat;5;7;3;123.3;160946449;Мещанский;Большой Кисельный переулок;11;Тургеневская;Frank's house
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296390213/;Москва;sale;flat;22;53;3;130.0;100000000;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/293584644/;Москва;sale;flat;5;5;3;183.1;174494300;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов 
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/296106303/;Москва;sale;flat;39;65;3;223.3;231436250;Пресненский;набережная Пресненская;8с1;Международная;Город Столиц
Основа;developer;https://www.cian.ru/sale/flat/293623782/;Москва;sale;flat;-1;-1;-1;50.4;20910960;Хорошево-Мневники;2-й Силикатный проезд;;Полежаевская;Emotion
Acropol;real_estate_agent;https://www.cian.ru/sale/flat/291373130/;Москва;sale;flat;9;10;3;100.0;73000000;Тверской; Палиха;4;Менделеевская;Клубный дом Maison Rouge
Основа;developer;https://www.cian.ru/sale/flat/286886778/;Москва;sale;flat;10;13;3;68.0;37729120;Замоскворечье;Большой Строченовский переулок;9;Павелецкая;Резиденции Замоскворечье
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297531759/;Москва;sale;flat;6;8;3;193.4;360000000;Пресненский;Большой Козихинский переулок;25;Маяковская;Булгаков
MR Group;developer;https://www.cian.ru/sale/flat/287735663/;Москва;sale;flat;33;43;3;104.0;43906720;Западное Дегунино;Ильменский проезд;14к1;Селигерская;Селигер Сити
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/291196149/;Москва;sale;flat;6;14;3;125.3;148000000;Хамовники; Усачева;11Е;Спортивная;Садовые кварталы
Пионер;developer;https://www.cian.ru/sale/flat/299765150/;Москва;sale;flat;10;13;3;69.64;25737260;Москворечье-Сабурово;;;Варшавская;Лайф Варшавская ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/294907870/;Москва;sale;flat;2;7;3;151.3;300000000;Хамовники; Плющиха;37;Киевская;Клубный дом Bunin
MR Group;developer;https://www.cian.ru/sale/flat/294654600/;Москва;sale;flat;33;41;3;91.24;62301683;Раменки;1-й Сетуньский проезд;вл10;Лужники;Hide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/295229141/;Москва;sale;flat;6;12;3;107.0;160500000;Хамовники; Усачева;11Б;Спортивная;Садовые кварталы
ASTERUS;representative_developer;https://www.cian.ru/sale/flat/299023698/;Москва;sale;flat;5;22;3;79.2;31088028;Покровское-Стрешнево;;;Тушинская;Алиа ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/282550381/;Москва;sale;flat;6;8;3;111.0;144170000;Раменки;Мосфильмовская ;1А;Фили;Вишневый сад
Киноцентр;developer;https://www.cian.ru/sale/flat/300126266/;Москва;sale;flat;12;20;3;112.0;102502064;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/298879854/;Москва;sale;flat;1;11;3;87.6;25000000;Алексеевский; Павла Корчагина;13;ВДНХ;
Группа Родина;developer;https://www.cian.ru/sale/flat/291114499/;Москва;sale;flat;2;23;3;84.6;36408800;Ростокино;;к4;Ботанический сад;Союз ЖК
ЗАПАДНЫЙ САД;real_estate_agent;https://www.cian.ru/sale/flat/294607904/;Москва;sale;flat;4;14;3;101.0;68899000;Раменки;проспект Генерала Дорохова;39к1Д;Минская;Собрание клубных домов West Garden
Донстрой;developer;https://www.cian.ru/sale/flat/296482743/;Москва;sale;flat;2;14;3;133.7;76342700;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/287785206/;Москва;sale;flat;8;15;3;119.5;155350000;Хамовники; Усачева;15кВ;Спортивная;Садовые кварталы
Основа;developer;https://www.cian.ru/sale/flat/286250422/;Москва;sale;flat;-1;-1;-1;202.0;51520000;Красносельский;проспект Академика Сахарова;11;Красные ворота;RED7
ID 416302;realtor;https://www.cian.ru/sale/flat/300112102/;Москва;sale;flat;5;21;3;137.0;132000000;Пресненский;Лаки жилой квартал;;Улица 1905 года;Lucky
СИТИ21;developer;https://www.cian.ru/sale/flat/294702843/;Москва;sale;flat;11;15;3;123.4;49656907;Останкинский;проспект Мира;95;Алексеевская;Hill8
ID 413522;realtor;https://www.cian.ru/sale/flat/295406435/;Москва;sale;flat;11;21;3;104.55;101000000;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
Forma;developer;https://www.cian.ru/sale/flat/297983408/;Москва;sale;flat;18;25;3;79.2;31674060;Аэропорт;Часовая ;28к8;Сокол;SOUL
YHome;real_estate_agent;https://www.cian.ru/sale/flat/295314997/;Москва;sale;flat;9;21;3;108.0;99700000;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
Sminex;developer;https://www.cian.ru/sale/flat/293712295/;Москва;sale;flat;2;21;3;79.64;40450000;Марфино; Академика Королева;21;Телецентр;Дом Достижение
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/298924771/;Москва;sale;flat;13;20;3;110.9;71400000;Раменки;Мичуринский проспект;3;Ломоносовский проспект;Квартал Шуваловский
Основа;developer;https://www.cian.ru/sale/flat/297432056/;Москва;sale;flat;-1;-1;-1;202.0;26500500;Марфино;Ботаническая ;29К1;Владыкино;VERY
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/300060626/;Москва;sale;flat;9;22;3;104.0;67990000;Хорошево-Мневники; Нижние Мневники;;Терехово ;Остров
Основа;developer;https://www.cian.ru/sale/flat/286346554/;Москва;sale;flat;-1;-1;-1;202.0;17324000;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/299740434/;Москва;sale;flat;4;32;3;78.8;24000000;Бутырский; Руставели;14;Бутырская;Руставели 14
Э.К. Девелопмент;developer;https://www.cian.ru/sale/flat/299892591/;Москва;sale;flat;14;26;3;79.0;22665600;Чертаново Южное;Варшавское шоссе;170Ек3;Лесопарковая;Зеленая Вертикаль
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/293938241/;Москва;sale;flat;2;13;3;121.0;46500000;Пресненский;Большая Грузинская ;39;Белорусская;
Ташир;developer;https://www.cian.ru/sale/flat/291690077/;Москва;sale;flat;7;21;3;72.0;21960000;Очаково-Матвеевское;Аминьевское шоссе;6;Давыдково;West Tower (Апартаменты бизнес-класса)
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/299111054/;Москва;sale;flat;7;10;3;68.5;31500000;Даниловский;проезд Жуков;21Б;Павелецкая;Level Павелецкая
GloraX;developer;https://www.cian.ru/sale/flat/295853228/;Москва;sale;flat;4;21;3;91.99;44649999;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300006012/;Москва;sale;flat;8;8;3;81.0;50000000;Арбат; Арбат;51С1;Смоленская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/297124367/;Москва;sale;flat;15;20;3;99.6;49003200;Басманный; Фридриха Энгельса;56;Бауманская;Дом 56
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/299717440/;Москва;sale;flat;18;21;3;290.7;99000000;Тропарево-Никулино;проспект Вернадского;92К1;Юго-Западная;Корона Эйр
GRAVION;developer;https://www.cian.ru/sale/flat/300113547/;Москва;sale;flat;7;9;3;194.57;272398000;Якиманка;Ленинский проспект;2;Октябрьская;Клубный дом CULT
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/298041391/;Москва;sale;flat;17;21;3;119.7;97000000;Пресненский;Большой Тишинский переулок;10С1;Баррикадная;Большой Тишинский переулок, 10с1
КРОСТ;developer;https://www.cian.ru/sale/flat/296745531/;Москва;sale;flat;15;28;3;78.3;27953100;Хорошево-Мневники; Генерала Глаголева;;;CRYSTAL Трилогия
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/298833706/;Москва;sale;flat;70;75;3;100.0;178000000;Пресненский;1-й Красногвардейский проезд;22с2;Международная;NEVA TOWERS
St Michael;developer;https://www.cian.ru/sale/flat/298001269/;Москва;sale;flat;3;21;3;65.92;27820590;Хорошевский;;;Полежаевская;Зорге 9 ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299872309/;Москва;sale;flat;16;37;3;91.0;58500000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/280126559/;Москва;sale;flat;4;19;3;62.8;24743200;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/294029718/;Москва;sale;flat;47;54;3;163.0;194800000;Раменки;Мосфильмовская ;8;Минская;Дом на Мосфильмовской
ID 112819123;developer;https://www.cian.ru/sale/flat/299839313/;Москва;sale;flat;3;40;3;80.3;28478716;Щукино;проезд 4-й Красногорский;3;Стрешнево;Moments
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/293958982/;Москва;sale;flat;25;30;3;134.0;66000000;Проспект Вернадского;проспект Вернадского;37к1А;Проспект Вернадского;
Эталон;developer;https://www.cian.ru/sale/flat/299226192/;Москва;sale;flat;17;35;3;81.9;36557481;Даниловский;;к1;Технопарк;Нагатино Ай-Ленд ЖК
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/300116271/;Москва;sale;flat;5;11;3;62.3;34300000;Басманный; Казакова;7;Курская;KAZAKOV Grand Loft
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/293141534/;Москва;sale;flat;3;27;3;76.1;26292550;Щукино; Берзарина;;Щукинская;Октябрьское поле
Verges of estate;real_estate_agent;https://www.cian.ru/sale/flat/298559829/;Москва;sale;flat;11;12;3;73.0;47500000;Раменки;проспект Генерала Дорохова;39к1Е;Минская;Собрание клубных домов West Garden
Forma;developer;https://www.cian.ru/sale/flat/298002874/;Москва;sale;flat;18;25;3;86.4;36472702;Печатники;Южнопортовая ;;Печатники;Portland
MC REALTY;real_estate_agent;https://www.cian.ru/sale/flat/298604633/;Москва;sale;flat;45;85;3;163.0;90000000;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр;МФК ОКО
MR Group;developer;https://www.cian.ru/sale/flat/290790426/;Москва;sale;flat;2;57;3;79.23;40424357;Филевский парк;;;Фили;Фили Сити ЖК
